Acinar	PRSS2
Acinar	REG1A
Acinar	REG1B
Acinar	CLPS
Acinar	PRSS1
Acinar	CELA3A
Acinar	CTRB2
Acinar	CTRB1
Acinar	CPA1
Acinar	REG3A
Acinar	SPINK1
Acinar	PLA2G1B
Acinar	CELA3B
Acinar	CPB1
Acinar	CTRC
Acinar	PNLIP
Acinar	CPA2
Acinar	CEL
Acinar	GP2
Acinar	SYCN
Acinar	CELA2A
Acinar	AMY2A
Acinar	PRSS3
Acinar	CUZD1
Acinar	PNLIPRP1
Acinar	KLK1
Acinar	REG3G
Acinar	MT1G
Acinar	CELA2B
Acinar	SERPINA3
Acinar	CTRL
Acinar	OLFM4
Acinar	ALB
Acinar	IL32
Acinar	AMY2B
Acinar	PDIA2
Acinar	RNASE1
Acinar	ALDOB
Acinar	GSTA1
Acinar	MGST1
Acinar	RARRES2
Acinar	AZGP1
Acinar	ANPEP
Acinar	GATM
Acinar	AL365226.2
Acinar	FGL1
Acinar	GSTA2
Acinar	SERPINI2
Acinar	LGALS2
Acinar	MT1H
Alpha	GCG
Alpha	VGF
Alpha	GC
Alpha	CRYBA2
Alpha	F10
Alpha	PCSK2
Alpha	TMEM176B
Alpha	TMEM176A
Alpha	CALY
Alpha	TM4SF4
Alpha	PEG10
Alpha	FXYD5
Alpha	IRX2
Alpha	SMIM24
Alpha	APOH
Alpha	SLC22A17
Alpha	PCDH17
Alpha	FXYD3
Alpha	SERPINA1
Alpha	MUC13
Alpha	SSX2IP
Alpha	PALLD
Alpha	FABP5
Alpha	CNTN1
Alpha	RAB3B
Alpha	C5orf38
Alpha	PAX6
Alpha	APLP1
Alpha	PLIN3
Beta	INS
Beta	IAPP
Beta	RBP4
Beta	NPY
Beta	UCHL1
Beta	DLK1
Beta	PCSK1
Beta	SHISAL2B
Beta	HADH
Beta	PPP1R1A
Beta	C1QL1
Beta	ADCYAP1
Beta	GAD2
Delta	SST
Delta	RBP4
Delta	LY6H
Delta	PCSK1
Delta	HHEX
Ductal	MMP7
Ductal	SPP1
Ductal	KRT19
Ductal	LCN2
Ductal	TFPI2
Ductal	KRT7
Ductal	CCL2
Ductal	ANXA4
Ductal	AMBP
Ductal	DEFB1
Ductal	PMEPA1
Ductal	CLDN1
Ductal	CXCL1
Ductal	CFTR
Ductal	S100A16
Ductal	SERPING1
Ductal	CAV2
Ductal	LGALS4
Ductal	CLDN10
Ductal	SLC4A4
Ductal	AQP1
Ductal	CTSH
Ductal	PDLIM3
Ductal	HES4
Ductal	CCN2
Ductal	PLPP2
Ductal	SLPI
Ductal	SDC4
Ductal	ANXA3
Ductal	TSPAN8
Ductal	SOD3
Ductal	WFDC2
Ductal	SERINC2
Ductal	FLNA
Ductal	TINAGL1
Ductal	S100A14
Ductal	HES1
Ductal	EDN1
Ductal	CXCL2
Ductal	ALDH1A3
Ductal	NEURL3
Ductal	CDC42EP1
Ductal	MALL
Ductal	CYTOR
Ductal	VCAM1
Ductal	CXADR
Ductal	MUC6
Ductal	COL18A1
Ductal	LITAF
Ductal	CFB
Ductal	CCN1
Ductal	PRSS8
Ductal	AHNAK
Ductal	CRYAB
Ductal	CCND1
Ductal	LAMC2
Ductal	CNN3
Ductal	JUP
Ductal	GDF15
Ductal	FILIP1L
Ductal	NCEH1
Ductal	RAMP1
Ductal	TNFSF10
Ductal	ONECUT2
Ductal	CD74
Ductal	C3
Ductal	SERPINA5
Ductal	STK17A
Ductal	TMEM265
Ductal	SPHK1
Ductal	CREB5
Ductal	TCIM
Ductal	BIRC3
Ductal	MARCKSL1
Ductal	FGFBP1
Ductal	ST14
Ductal	PLAUR
Ductal	PPIC
Ductal	PDZK1IP1
Ductal	TSPAN15
Endothelial	PECAM1
Endothelial	PLVAP
Endothelial	GNG11
Endothelial	STC1
Endothelial	CLDN5
Endothelial	TCF4
Endothelial	PCAT19
Endothelial	ESAM
Endothelial	IFI27
Endothelial	EMP1
Endothelial	RGCC
Endothelial	SPARCL1
Endothelial	CXCR4
Endothelial	PODXL
Endothelial	PGF
Endothelial	KDR
Endothelial	WWTR1
Endothelial	CLIC4
Endothelial	SH3BP5
Endothelial	SOX18
Endothelial	MEF2C
Endothelial	F2RL3
Endothelial	NRP2
Endothelial	ID3
Endothelial	COL4A1
Endothelial	RAMP2
Endothelial	LAMA4
Endothelial	CLEC14A
Endothelial	CD93
Endothelial	ADGRL4
Endothelial	JCAD
Endothelial	SPARC
Endothelial	TGFBR2
Endothelial	PLEKHO1
Endothelial	VWF
Endothelial	COL4A2
Endothelial	AFAP1L1
Endothelial	FCN3
Endothelial	DAB2
Endothelial	IGFBP4
Endothelial	ESM1
Endothelial	ARHGAP29
Endothelial	MSN
Endothelial	SOCS3
Endothelial	GYPC
Endothelial	SLC9A3R2
Endothelial	RAPGEF5
Endothelial	KLF2
Endothelial	CLEC2B
Endothelial	MAFF
Endothelial	HSPG2
Endothelial	GMFG
Endothelial	SERPINE1
Endothelial	ADGRF5
Endothelial	FLT1
Endothelial	SMAD1
Endothelial	THBS1
Endothelial	MCAM
Endothelial	RBP7
Endothelial	ELK3
Endothelial	PALM2-AKAP2
Endothelial	ECSCR
Endothelial	UPP1
Endothelial	PLK2
Endothelial	TP53I11
Endothelial	ETS2
Endothelial	LUZP1
Endothelial	CALCRL
Endothelial	KIT
Endothelial	STX11
Endothelial	PTPN12
Endothelial	PXDN
Endothelial	BCL6B
Endothelial	ICAM1
Endothelial	THBD
Endothelial	SPRY1
Endothelial	ENG
Endothelial	RFLNB
Endothelial	PNP
Endothelial	GRASP
Endothelial	STOM
Endothelial	FAM43A
Endothelial	HBEGF
Endothelial	LMO2
Endothelial	TM4SF18
Endothelial	UNC5B
Endothelial	HOTAIRM1
Endothelial	ID1
Endothelial	EFNA1
Endothelial	LGALS1
Endothelial	DOCK9
Endothelial	CD74
Endothelial	EMP2
Endothelial	BCL2L11
Endothelial	CD34
Endothelial	SOX17
Endothelial	TNFRSF4
Endothelial	A2M
Endothelial	MGLL
Endothelial	NEDD9
Endothelial	IFITM2
Endothelial	DUSP6
Endothelial	EMCN
Endothelial	ARID5A
Endothelial	EFNB1
Endothelial	DOCK4
Endothelial	MARCKSL1
Endothelial	TCIM
Endothelial	ITM2A
Endothelial	GPRC5B
Endothelial	CRIM1
Endothelial	ISG20
Endothelial	COL15A1
Endothelial	IFI16
Endothelial	APOLD1
Endothelial	PLS3
Endothelial	TNFSF10
Endothelial	INHBB
Endothelial	TIE1
Endothelial	ERG
Endothelial	CYTOR
Endothelial	SASH1
Endothelial	RIPOR1
Endothelial	SWAP70
Endothelial	PDE4B
Endothelial	LXN
Endothelial	ZEB1
Endothelial	PLEKHG1
Endothelial	PTPRM
Endothelial	KITLG
Endothelial	GRK5
Endothelial	PTPRE
Endothelial	PDCL
Endothelial	HLA-DRB1
Endothelial	ADM
Endothelial	PRDM1
Endothelial	FSCN1
Endothelial	TMEM255B
Endothelial	PLPP1
Endothelial	TNFAIP8L1
Endothelial	ACVRL1
Endothelial	CAVIN1
Endothelial	ITPKB
Endothelial	PTPRB
Endothelial	S1PR1
Endothelial	HYAL2
Endothelial	SULF2
Endothelial	ISG15
Endothelial	OSBPL10
Endothelial	LAYN
Endothelial	SIN3B
Endothelial	DYRK3
Endothelial	ICAM2
Endothelial	PRKCH
Endothelial	TSPAN14
Endothelial	BST2
Endothelial	RESF1
Endothelial	PCDH1
Endothelial	AC020916.1
Gamma+Epsilon	PPY
Gamma+Epsilon	SST
Gamma+Epsilon	RBP4
Gamma+Epsilon	NPW
Gamma+Epsilon	LY6H
Macrophage	APOE
Macrophage	IFI30
Macrophage	HLA-DRA
Macrophage	CD74
Macrophage	LAPTM5
Macrophage	TYROBP
Macrophage	ACP5
Macrophage	HLA-DRB1
Macrophage	APOC1
Macrophage	HLA-DPB1
Macrophage	C1QA
Macrophage	S100A4
Macrophage	HLA-DPA1
Macrophage	C1QB
Macrophage	SRGN
Macrophage	ARL4C
Macrophage	LYZ
Macrophage	RGS1
Macrophage	GPNMB
Macrophage	FCER1G
Macrophage	C1QC
Macrophage	GPR183
Macrophage	CCL3
Macrophage	CTSS
Macrophage	CXCL8
Macrophage	SDS
Macrophage	LGALS1
Macrophage	CXCR4
Macrophage	MS4A7
Macrophage	RNASE1
Macrophage	TGFBI
Macrophage	IL1B
Macrophage	RGS2
Macrophage	CD14
Macrophage	ABCA1
Macrophage	HLA-DQB1
Macrophage	BASP1
Macrophage	SGK1
Macrophage	S100A9
Macrophage	TYMP
Macrophage	ALOX5AP
Macrophage	HLA-DMA
Macrophage	HLA-DQA1
Macrophage	EMP3
Macrophage	HLA-DRB5
Macrophage	PLA2G7
Macrophage	ZEB2
Macrophage	PLAUR
Macrophage	RAB31
Macrophage	CD83
Macrophage	CXCL3
Macrophage	NINJ1
Macrophage	FGL2
Macrophage	SPI1
Macrophage	AIF1
Macrophage	RGS10
Macrophage	LIPA
Macrophage	CXCL16
Macrophage	ITGAX
Macrophage	PTPRE
Macrophage	ITGB2
Macrophage	CAPG
Macrophage	A2M
Macrophage	TNFRSF1B
Macrophage	ANXA1
Macrophage	THBS1
Macrophage	MMP14
Macrophage	OGFRL1
Macrophage	AC020656.1
Macrophage	CYBB
Macrophage	CLEC7A
Macrophage	RUNX3
Macrophage	PLIN2
Macrophage	HLA-DMB
Macrophage	LCP1
Macrophage	LPAR6
Macrophage	LITAF
Macrophage	CTSC
Macrophage	CPVL
Macrophage	JARID2
Macrophage	PRDM1
Macrophage	PLXDC2
Macrophage	TGFB1
Macrophage	NR4A2
Macrophage	GM2A
Macrophage	STAB1
Macrophage	GMFG
Macrophage	PTPRC
Macrophage	IGSF6
Macrophage	CD109
Macrophage	CXCL2
Macrophage	LSP1
Macrophage	CLEC2B
Macrophage	MYO9B
Macrophage	FOSL2
Macrophage	MSR1
Macrophage	PLEK
Macrophage	FCGR2A
Macrophage	ADAM28
Macrophage	OLR1
Macrophage	RAPGEF1
Macrophage	PHACTR1
Macrophage	SEMA6B
Macrophage	C5AR1
Macrophage	PPIF
Macrophage	VMO1
Macrophage	DAB2
Macrophage	DOCK4
Macrophage	BID
Macrophage	SLC43A2
Macrophage	ARRB2
Macrophage	HMOX1
Macrophage	HCST
Macrophage	EVI2B
Macrophage	CELF2
Macrophage	ARHGDIB
Macrophage	FUCA1
Macrophage	WIPF1
Macrophage	CD37
Macrophage	LYN
Macrophage	CD86
Macrophage	STX11
Macrophage	AC020916.1
Macrophage	IFITM10
Macrophage	ZNF331
Macrophage	CSF2RA
Mast	TPSB2
Mast	TPSAB1
Mast	S100A4
Mast	SRGN
Mast	RGS1
Mast	LAPTM5
Mast	RGS10
Mast	SAMSN1
Mast	ALOX5AP
Mast	ARHGDIB
Mast	CD37
Mast	EMP3
Mast	GNPTAB
Mast	RGS2
Mast	ANXA1
Mast	KIT
Mast	GMFG
Mast	DDIT4
Mast	ZEB2
Mast	LGALS1
Stellate	C11orf96
Stellate	MGP
Stellate	TIMP3
Stellate	COL1A1
Stellate	C7
Stellate	COL6A2
Stellate	DCN
Stellate	CXCL8
Stellate	APOD
Stellate	COL6A1
Stellate	LGALS1
Stellate	COL1A2
Stellate	SFRP2
Stellate	COL3A1
Stellate	RGS5
Stellate	LUM
Stellate	SPARCL1
Stellate	IGFBP4
Stellate	IGFBP5
Stellate	BGN
Stellate	SPARC
Stellate	PDGFRB
Stellate	PTGDS
Stellate	COL6A3
Stellate	CALD1
Stellate	ADIRF
Stellate	CYP1B1
Stellate	TFPI
Stellate	SERPINF1
Stellate	COL4A2
Stellate	COL4A1
Stellate	CFD
Stellate	KCNE4
Stellate	IGFBP6
Stellate	FBLN1
Stellate	MFGE8
Stellate	FN1
Stellate	PTGS2
Stellate	MMP2
Stellate	C1R
Stellate	C1S
Stellate	TPM2
Stellate	TAGLN
Stellate	EDNRB
Stellate	RND3
Stellate	BASP1
Stellate	EMP3
Stellate	HSPB6
Stellate	ANXA1
Stellate	SMIM3
Stellate	MYL9
Stellate	A2M
Stellate	CRLF1
Stellate	APOE
Stellate	PRRX1
Stellate	HOTAIRM1
